Supp,Conf,Covr,Strg,Lift,Levr,Antecedent,,Consequent
0.203,0.93,0.219,4.325,0.984,-0.003,ClasseSocial=D,→,TP_DEPENDENCIA_ADM_ESC=Estadual
0.235,0.929,0.253,3.737,0.983,-0.004,"EstudoMae=Medio, mediaNota=452.99 - 585.6",→,TP_DEPENDENCIA_ADM_ESC=Estadual
0.294,0.925,0.318,2.976,0.978,-0.007,TP_COR_RACA=Branco,→,TP_DEPENDENCIA_ADM_ESC=Estadual
0.232,0.924,0.251,3.767,0.978,-0.005,"mediaNota=452.99 - 585.6, TP_COR_RACA=NãoBranco, TemPC=Sim",→,TP_DEPENDENCIA_ADM_ESC=Estadual
0.485,0.922,0.526,1.797,0.975,-0.012,TemPC=Sim,→,TP_DEPENDENCIA_ADM_ESC=Estadual
0.478,0.716,0.668,1.101,0.973,-0.013,TP_COR_RACA=NãoBranco,→,mediaNota=452.99 - 585.6
0.226,0.914,0.247,3.825,0.967,-0.008,"mediaNota=452.99 - 585.6, TP_COR_RACA=Branco",→,TP_DEPENDENCIA_ADM_ESC=Estadual
0.508,0.71,0.716,1.028,0.965,-0.019,ClasseSocial=E,→,mediaNota=452.99 - 585.6
0.373,0.91,0.41,2.304,0.963,-0.015,"mediaNota=452.99 - 585.6, TemPC=Sim",→,TP_DEPENDENCIA_ADM_ESC=Estadual
0.452,0.708,0.638,1.153,0.962,-0.018,"TP_COR_RACA=NãoBranco, TP_DEPENDENCIA_ADM_ESC=Estadual",→,mediaNota=452.99 - 585.6
0.487,0.705,0.691,1.066,0.958,-0.022,"ClasseSocial=E, TP_DEPENDENCIA_ADM_ESC=Estadual",→,mediaNota=452.99 - 585.6
